Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Madrid_Open,Madrid,2011,Masters,Both," € 3,700,000.00 "," € 3,700,000.00 "," € 585,000.00 "," € 585,000.00 ",185000,2100000,2100000,56
,,Miami_Open,Miami,2011,Masters,Both," € 3,750,000.00 "," € 3,750,000.00 "," € 610,000.00 "," € 610,000.00 ",290000,2100000,2100000,96
,,Monte_Carlo_Masters,Monte Carlo,2011,Masters,Male," € 2,200,000.00 ",," € 434,000.00 ",,135000,1600000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2011,Masters,Both," € 2,430,000.00 "," € 2,050,000.00 "," € 450,000.00 "," € 360,000.00 ",157000,2000000,1700000,56
,,Paris_Masters,Paris,2011,Masters,Male," € 2,972,000.00 ",," € 454,000.00 ",,125000,1900000,,56
,,Qatar_Open,Doha,2011,Masters,Both," € 1,050,000.00 "," € 600,000.00 "," € 180,000.00 "," € 90,000.00 ",65000,1100000,850000,56
,,Rome_Open,Rome,2011,Masters,Both," € 2,950,000.00 "," € 2,050,000.00 "," € 550,000.00 "," € 360,000.00 ",181000,2100000,1700000,56
,,Shanghai_Masters,Shanghai,2011,Masters,Male," € 3,200,000.00 ",," € 645,000.00 ",,158000,1900000,,56
,,Acapulco,Acapulco,2011,ATP_500,Male," € 955,000.00 ",," € 250,000.00 ",,52000,1300000,,32
,,Basel_Open,Basel,2011,ATP_500,Male," € 1,755,000.00 ",," € 341,000.00 ",,66000,1500000,,32
,,Beijing_Open,Beijing,2011,ATP_500,Male," € 2,100,000.00 ",," € 430,000.00 ",,165000,2200000,,32
,,Hamburg_Open,Hamburg,2011,ATP_500,Male," € 1,115,000.00 ",," € 245,000.00 ",,58000,1100000,,48
,,Rotterdam_Open,Rotterdam,2011,ATP_500,Male," € 1,150,000.00 ",," € 306,750.00 ",,100000,1300000,,32
,,Dubai_Duty_Free_Open,Dubai,2011,ATP_500,Male," € 1,600,000.00 ",," € 350,000.00 ",,92000,1600000,,32
,,Barcelona_Open,Barcelona,2011,ATP 500,Male," € 1,995,000.00 ",," € 286,000.00 ",,97000,1400000,,48
,,Seoul_Open,Seoul,2011,WTA_500,Female,," € 180,000.00 ",," € 28,000.00 ",37000,,520000,32
,,Monterrey_Open,Monterrey,2011,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",31000,,420000,32
,,Eastbourne_Open,Eastbourne,2011,WTA_500,Female,," € 600,000.00 ",," € 98,500.00 ",32000,,850000,28
,,Strasbourg_Open,Strasbourg,2011,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",16000,,550000,32
,,Stuttgart_Open,Stuttgart,2011,WTA_500,Female,," € 710,000.00 ",," € 107,000.00 ",28000,,750000,28
,,Charleston_Open,Charleston,2011,WTA_500,Female,," € 700,000.00 ",," € 106,000.00 ",26000,,550000,32
,,Brisbane_Open,Brisbane,2011,WTA_500,Female,," € 655,000.00 ",," € 111,000.00 ",96000,,800000,30
,,Sydney_Open,Sydney,2011,WTA_500,Female,," € 600,000.00 ",," € 98,500.00 ",80000,,900000,30
,,Tokyo_Open,Tokyo,2011,WTA_500,Female,," € 1,700,000.00 ",," € 297,500.00 ",82000,,1250000,28
,,Moskow_Open,Moscow,2011,WTA_500,Female,," € 1,000,000.00 ",," € 165,000.00 ",62000,,470000,32
,,Australian_Open,Melbourne,2012,Grand_Slam,Both," € 11,200,000.00 "," € 11,200,000.00 "," € 1,760,000.00 "," € 1,760,000.00 ",686006,4200000,3500000,256
,,Roland_Garros,Paris,2012,Grand_Slam,Both," € 9,200,000.00 "," € 9,200,000.00 "," € 1,250,000.00 "," € 1,250,000.00 ",463000,4000000,3500000,256
,,US_Open,New York,2012,Grand_Slam,Both," € 9,000,000.00 "," € 9,000,000.00 "," € 1,450,000.00 "," € 1,450,000.00 ",710000,4500000,3400000,256
,,Wimbledon,London,2012,Grand_Slam,Both," € 8,950,000.00 "," € 8,950,000.00 "," € 1,350,000.00 "," € 1,350,000.00 ",484391,7400000,4800000,256
,,Cincinnati_Open,Cincinnati,2012,Masters,Both," € 2,850,000.00 "," € 2,850,000.00 "," € 460,000.00 "," € 400,000.00 ",190000,1600000,1300000,56
,,Indian_Wells,Indian Wells,2012,Masters,Both," € 4,000,000.00 "," € 4,000,000.00 "," € 800,000.00 "," € 800,000.00 ",379999,2200000,1700000,96
,,Madrid_Open,Madrid,2012,Masters,Both," € 3,700,000.00 "," € 3,700,000.00 "," € 585,000.00 "," € 585,000.00 ",190000,2200000,2200000,56
,,Miami_Open,Miami,2012,Masters,Both," € 3,900,000.00 "," € 3,900,000.00 "," € 650,000.00 "," € 650,000.00 ",300000,2200000,2200000,96
,,Monte_Carlo_Masters,Monte Carlo,2012,Masters,Male," € 2,250,000.00 ",," € 460,000.00 ",,140000,1700000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2012,Masters,Both," € 2,620,000.00 "," € 2,250,000.00 "," € 490,000.00 "," € 385,000.00 ",159000,2100000,1900000,56
,,Paris_Masters,Paris,2012,Masters,Male," € 3,000,000.00 ",," € 463,000.00 ",,130000,2000000,,56
,,Qatar_Open,Doha,2012,Masters,Both," € 1,150,000.00 "," € 620,000.00 "," € 195,000.00 "," € 92,000.00 ",68000,1200000,900000,56
,,Rome_Open,Rome,2012,Masters,Both," € 2,950,000.00 "," € 2,170,000.00 "," € 520,000.00 "," € 370,000.00 ",180000,2300000,1800000,56
