Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Eastbourne_Open,Eastbourne,2015,WTA_500,Female,," € 731,000.00 ",," € 110,000.00 ",37000,,1100000,28
,,Strasbourg_Open,Strasbourg,2015,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",18000,,750000,32
,,Stuttgart_Open,Stuttgart,2015,WTA_500,Female,," € 800,000.00 ",," € 120,000.00 ",32000,,950000,28
,,Charleston_Open,Charleston,2015,WTA_500,Female,," € 800,000.00 ",," € 120,000.00 ",30000,,750000,32
,,Brisbane_Open,Brisbane,2015,WTA_500,Female,," € 1,000,000.00 ",," € 196,670.00 ",107000,,1000000,30
,,Sydney_Open,Sydney,2015,WTA_500,Female,," € 731,000.00 ",," € 110,000.00 ",88000,,1100000,30
,,Tokyo_Open,Tokyo,2015,WTA_500,Female,," € 2,040,000.00 ",," € 362,100.00 ",92000,,1450000,28
,,Moskow_Open,Moscow,2015,WTA_500,Female,," € 1,150,000.00 ",," € 187,500.00 ",70000,,570000,32
,,Australian_Open,Melbourne,2016,Grand_Slam,Both," € 14,200,000.00 "," € 14,200,000.00 "," € 2,730,000.00 "," € 2,730,000.00 ",494076,9800000,4500000,256
,,Roland_Garros,Paris,2016,Grand_Slam,Both," € 13,300,000.00 "," € 13,300,000.00 "," € 2,000,000.00 "," € 2,000,000.00 ",456000,4900000,3900000,256
,,US_Open,New York,2016,Grand_Slam,Both," € 14,000,000.00 "," € 14,000,000.00 "," € 3,000,000.00 "," € 3,000,000.00 ",691446,6100000,4200000,256
,,Wimbledon,London,2016,Grand_Slam,Both," € 13,200,000.00 "," € 13,200,000.00 "," € 2,250,000.00 "," € 2,250,000.00 ",494076,9800000,4500000,256
,,Cincinnati_Open,Cincinnati,2016,Masters,Both," € 4,200,000.00 "," € 4,200,000.00 "," € 600,000.00 "," € 520,000.00 ",199000,2400000,1800000,56
,,Indian_Wells,Indian Wells,2016,Masters,Both," € 6,100,000.00 "," € 6,100,000.00 "," € 1,000,000.00 "," € 1,000,000.00 ",458000,2600000,2100000,96
,,Madrid_Open,Madrid,2016,Masters,Both," € 4,800,000.00 "," € 4,800,000.00 "," € 912,000.00 "," € 912,000.00 ",230000,2600000,2600000,56
,,Miami_Open,Miami,2016,Masters,Both," € 5,300,000.00 "," € 5,300,000.00 "," € 1,100,000.00 "," € 1,100,000.00 ",340000,2600000,2600000,96
,,Monte_Carlo_Masters,Monte Carlo,2016,Masters,Male," € 3,700,000.00 ",," € 820,000.00 ",,160000,2100000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2016,Masters,Both," € 4,100,000.00 "," € 2,650,000.00 "," € 685,000.00 "," € 485,000.00 ",172000,2500000,2200000,56
,,Paris_Masters,Paris,2016,Masters,Male," € 3,700,000.00 ",," € 746,000.00 ",,150000,2400000,,56
,,Qatar_Open,Doha,2016,Masters,Both," € 1,550,000.00 "," € 750,000.00 "," € 230,000.00 "," € 110,000.00 ",78000,1600000,1200000,56
,,Rome_Open,Rome,2016,Masters,Both," € 4,000,000.00 "," € 2,800,000.00 "," € 620,000.00 "," € 450,000.00 ",205000,2800000,2200000,56
,,Shanghai_Masters,Shanghai,2016,Masters,Male," € 4,300,000.00 ",," € 810,000.00 ",,173000,2500000,,56
,,Acapulco,Acapulco,2016,ATP_500,Male," € 1,200,000.00 ",," € 316,000.00 ",,70000,1800000,,32
,,Vienna_Open,Vienna,2016,ATP_500,Male," € 2,467,000.00 ",," € 439,000.00 ",,57000,1700000,,32
,,Basel_Open,Basel,2016,ATP_500,Male," € 2,151,000.00 ",," € 422,000.00 ",,72000,1900000,,32
,,Beijing_Open,Beijing,2016,ATP_500,Male," € 3,100,000.00 ",," € 550,000.00 ",,190000,2800000,,32
,,Hamburg_Open,Hamburg,2016,ATP_500,Male," € 1,535,000.00 ",," € 285,000.00 ",,70000,1600000,,48
,,London_Open,London,2016,ATP_500,Male," € 1,920,000.00 ",," € 381,000.00 ",,65000,1900000,,32
,,Halle_Open,Halle,2016,ATP_500,Male," € 1,700,000.00 ",," € 354,000.00 ",,110000,1900000,,32
,,Rio_De_Janeiro,Rio De Janeiro,2016,ATP_500,Male," € 1,520,000.00 ",," € 315,000.00 ",,60000,1400000,,32
,,Rotterdam_Open,Rotterdam,2016,ATP_500,Male," € 1,720,000.00 ",," € 358,000.00 ",,110000,1800000,,32
,,Dubai_Duty_Free_Open,Dubai,2016,ATP_500,Male," € 2,240,000.00 ",," € 495,000.00 ",,103000,2100000,,32
,,Barcelona_Open,Barcelona,2016,ATP 500,Male," € 2,324,000.00 ",," € 350,000.00 ",,110000,1900000,,48
,,Ningbo_Open,Ningbo,2016,WTA_500,Female,," € 100,000.00 ",," € 15,200.00 ",5300,,260000,32
,,Seoul_Open,Seoul,2016,WTA_500,Female,," € 226,750.00 ",," € 43,000.00 ",43000,,670000,32
,,Monterrey_Open,Monterrey,2016,WTA_500,Female,," € 226,750.00 ",," € 43,000.00 ",37000,,550000,32
,,Eastbourne_Open,Eastbourne,2016,WTA_500,Female,," € 731,000.00 ",," € 110,000.00 ",38000,,1200000,28
,,Strasbourg_Open,Strasbourg,2016,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",19000,,800000,32
,,Stuttgart_Open,Stuttgart,2016,WTA_500,Female,," € 815,000.00 ",," € 122,000.00 ",33000,,1000000,28
,,Charleston_Open,Charleston,2016,WTA_500,Female,," € 795,000.00 ",," € 115,000.00 ",31000,,800000,32
,,Brisbane_Open,Brisbane,2016,WTA_500,Female,," € 1,000,000.00 ",," € 196,670.00 ",108000,,1050000,30
,,Sydney_Open,Sydney,2016,WTA_500,Female,," € 731,000.00 ",," € 110,000.00 ",90000,,1150000,30
,,Tokyo_Open,Tokyo,2016,WTA_500,Female,," € 2,040,000.00 ",," € 362,100.00 ",93000,,1500000,28
,,Moskow_Open,Moscow,2016,WTA_500,Female,," € 1,250,000.00 ",," € 192,500.00 ",72000,,600000,32
,,Australian_Open,Melbourne,2017,Grand_Slam,Both," € 23,400,000.00 "," € 23,400,000.00 "," € 2,630,000.00 "," € 2,630,000.00 ",728763,8000000,5000000,256
,,Roland_Garros,Paris,2017,Grand_Slam,Both," € 16,800,000.00 "," € 16,800,000.00 "," € 2,100,000.00 "," € 2,100,000.00 ",471000,5100000,4000000,256
,,US_Open,New York,2017,Grand_Slam,Both," € 16,100,000.00 "," € 16,100,000.00 "," € 3,200,000.00 "," € 3,200,000.00 ",691143,6300000,4500000,256
,,Wimbledon,London,2017,Grand_Slam,Both," € 15,800,000.00 "," € 15,800,000.00 "," € 2,600,000.00 "," € 2,600,000.00 ",473169,10400000,5000000,256
,,Cincinnati_Open,Cincinnati,2017,Masters,Both," € 4,600,000.00 "," € 4,600,000.00 "," € 640,000.00 "," € 550,000.00 ",202000,2600000,2000000,56
,,Indian_Wells,Indian Wells,2017,Masters,Both," € 6,900,000.00 "," € 6,900,000.00 "," € 1,100,000.00 "," € 1,100,000.00 ",439261,2800000,2200000,96
,,Madrid_Open,Madrid,2017,Masters,Both," € 4,900,000.00 "," € 4,900,000.00 "," € 1,000,000.00 "," € 1,000,000.00 ",240000,2700000,2700000,56
,,Miami_Open,Miami,2017,Masters,Both," € 6,050,000.00 "," € 6,050,000.00 "," € 1,200,000.00 "," € 1,200,000.00 ",350000,2700000,2700000,96
,,Monte_Carlo_Masters,Monte Carlo,2017,Masters,Male," € 4,300,000.00 ",," € 820,000.00 ",,165000,2200000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2017,Masters,Both," € 4,200,000.00 "," € 2,740,000.00 "," € 715,000.00 "," € 521,000.00 ",167000,2600000,2200000,56
,,Paris_Masters,Paris,2017,Masters,Male," € 4,500,000.00 ",," € 820,000.00 ",,155000,2500000,,56
,,Qatar_Open,Doha,2017,Masters,Both," € 1,600,000.00 "," € 780,000.00 "," € 235,000.00 "," € 115,000.00 ",80000,1700000,1300000,56
,,Rome_Open,Rome,2017,Masters,Both," € 4,270,000.00 "," € 2,900,000.00 "," € 820,000.00 "," € 500,000.00 ",210000,3000000,2300000,56
,,Shanghai_Masters,Shanghai,2017,Masters,Male," € 4,600,000.00 ",," € 915,000.00 ",,175000,2600000,,56
,,Acapulco,Acapulco,2017,ATP_500,Male," € 1,600,000.00 ",," € 340,000.00 ",,73000,2000000,,32
,,Vienna_Open,Vienna,2017,ATP_500,Male," € 2,621,000.00 ",," € 439,000.00 ",,58000,1800000,,32
,,Basel_Open,Basel,2017,ATP_500,Male," € 2,278,000.00 ",," € 430,000.00 ",,73000,2000000,,32
,,Beijing_Open,Beijing,2017,ATP_500,Male," € 3,400,000.00 ",," € 625,000.00 ",,195000,3000000,,32
,,Hamburg_Open,Hamburg,2017,ATP_500,Male," € 1,580,000.00 ",," € 285,000.00 ",,72000,1700000,,48
,,London_Open,London,2017,ATP_500,Male," € 1,920,000.00 ",," € 381,000.00 ",,65000,2000000,,32
,,Halle_Open,Halle,2017,ATP_500,Male," € 1,836,000.00 ",," € 395,000.00 ",,112000,2000000,,32
,,Rio_De_Janeiro,Rio De Janeiro,2017,ATP_500,Male," € 1,530,000.00 ",," € 320,000.00 ",,62000,1500000,,32
,,Rotterdam_Open,Rotterdam,2017,ATP_500,Male," € 1,850,000.00 ",," € 358,000.00 ",,115000,1900000,,32
,,Dubai_Duty_Free_Open,Dubai,2017,ATP_500,Male," € 2,430,000.00 ",," € 510,000.00 ",,105000,2200000,,32
,,Barcelona_Open,Barcelona,2017,ATP 500,Male," € 2,373,000.00 ",," € 461,000.00 ",,115000,2000000,,48
,,Ningbo_Open,Ningbo,2017,WTA_500,Female,," € 100,000.00 ",," € 15,200.00 ",5500,,270000,32
,,Seoul_Open,Seoul,2017,WTA_500,Female,," € 226,750.00 ",," € 43,000.00 ",44000,,700000,32
,,Monterrey_Open,Monterrey,2017,WTA_500,Female,," € 226,750.00 ",," € 43,000.00 ",38000,,580000,32
,,Eastbourne_Open,Eastbourne,2017,WTA_500,Female,," € 753,000.00 ",," € 113,000.00 ",39000,,1300000,28
,,Strasbourg_Open,Strasbourg,2017,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",20000,,850000,32
,,Stuttgart_Open,Stuttgart,2017,WTA_500,Female,," € 820,000.00 ",," € 125,000.00 ",34000,,1050000,28
,,Charleston_Open,Charleston,2017,WTA_500,Female,," € 800,000.00 ",," € 120,000.00 ",32000,,850000,32
,,Brisbane_Open,Brisbane,2017,WTA_500,Female,," € 1,000,000.00 ",," € 196,670.00 ",110000,,1100000,30
,,Sydney_Open,Sydney,2017,WTA_500,Female,," € 753,000.00 ",," € 113,000.00 ",92000,,1200000,30
,,Tokyo_Open,Tokyo,2017,WTA_500,Female,," € 2,040,000.00 ",," € 362,100.00 ",95000,,1550000,28
,,Moskow_Open,Moscow,2017,WTA_500,Female,," € 1,250,000.00 ",," € 192,500.00 ",74000,,620000,32
