Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female,Prize Pool Male,Prize Pool Female,Prize Male Winner,Prize Female Winner,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players,,All prizes are converted to euro's based on exchange rates of that time
2016-M020,,Brisbane_Open,Brisbane,2016,WTA_500,Female,,1000000,,196670,108000,,1050000,30,,
2016-M001,,Sydney_Open,Sydney,2016,WTA_500,Female,,731000,,110000,90000,,1150000,30,,
2016-0405,,Tokyo_Open,Tokyo,2016,WTA_500,Female,,2040000,,362100,93000,,1500000,28,,
2016-580,,Moskow_Open,Moscow,2016,WTA_500,Female,,1250000,,192500,72000,,600000,32,,
2017-580,2017-580,Australian_Open,Melbourne,2017,Grand_Slam,Both,23400000,23400000,2630000,2630000,728763,8000000,5000000,256,,
2017-520,2017-520,Roland_Garros,Paris,2017,Grand_Slam,Both,16800000,16800000,2100000,2100000,471000,5100000,4000000,256,,
2017-560,2017-560,US_Open,New York,2017,Grand_Slam,Both,16100000,16100000,3200000,3200000,691143,6300000,4500000,256,,
2017-540,2017-540,Wimbledon,London,2017,Grand_Slam,Both,15800000,15800000,2600000,2600000,473169,10400000,5000000,256,,
2017-M024,2017-M024,Cincinnati_Open,Cincinnati,2017,Masters,Both,4600000,4600000,640000,550000,202000,2600000,2000000,56,,
2017-M006,2017-M006,Indian_Wells,Indian Wells,2017,Masters,Both,6900000,6900000,1100000,1100000,439261,2800000,2200000,96,,
2017-M021,2017-M021,Madrid_Open,Madrid,2017,Masters,Both,4900000,4900000,1000000,1000000,240000,2700000,2700000,56,,
2017-M007,2017-M007,Miami_Open,Miami,2017,Masters,Both,6050000,6050000,1200000,1200000,350000,2700000,2700000,96,,
,2017-0410,Monte_Carlo_Masters,Monte Carlo,2017,Masters,Male,4300000,,820000,,165000,2200000,,56,,
2017-0806,2017-0421,Toronto_Montreal_Open,Toronto and Montreal,2017,Masters,Both,4200000,2740000,715000,521000,167000,2600000,2200000,56,,
,2017-0352,Paris_Masters,Paris,2017,Masters,Male,4500000,,820000,,155000,2500000,,56,,
2017-1003,2017-0451,Qatar_Open,Doha,2017,Masters,Both,1600000,780000,235000,115000,80000,1700000,1300000,56,,
2017-M009,2017-M009,Rome_Open,Rome,2017,Masters,Both,4270000,2900000,820000,500000,210000,3000000,2300000,56,,
,2017-5014,Shanghai_Masters,Shanghai,2017,Masters,Male,4600000,,915000,,175000,2600000,,56,,
,2017-M004,Acapulco,Acapulco,2017,ATP_500,Male,1600000,,340000,,73000,2000000,,32,,
,2017-0337,Vienna_Open,Vienna,2017,ATP_500,Male,2621000,,439000,,58000,1800000,,32,,
,2017-0328,Basel_Open,Basel,2017,ATP_500,Male,2278000,,430000,,73000,2000000,,32,,
,2017-M015,Beijing_Open,Beijing,2017,ATP_500,Male,3400000,,625000,,195000,3000000,,32,,
,2017-0414,Hamburg_Open,Hamburg,2017,ATP_500,Male,1580000,,285000,,72000,1700000,,48,,
,2017-0311,London_Open,London,2017,ATP_500,Male,1920000,,381000,,65000,2000000,,32,,
,2017-0500,Halle_Open,Halle,2017,ATP_500,Male,1836000,,395000,,112000,2000000,,32,,
,2017-6932,Rio_De_Janeiro,Rio De Janeiro,2017,ATP_500,Male,1530000,,320000,,62000,1500000,,32,,
,2017-0407,Rotterdam_Open,Rotterdam,2017,ATP_500,Male,1850000,,358000,,115000,1900000,,32,,
,2017-0495,Dubai_Duty_Free_Open,Dubai,2017,ATP_500,Male,2430000,,510000,,105000,2200000,,32,,
,2017-0425,Barcelona_Open,Barcelona,2017,ATP 500,Male,2373000,,461000,,115000,2000000,,48,,
2017-1039,,Monterrey_Open,Monterrey,2017,WTA_500,Female,,226750,,43000,38000,,580000,32,,
2017-M016,,Eastbourne_Open,Eastbourne,2017,WTA_500,Female,,753000,,113000,39000,,1300000,28,,
2017-0406,,Strasbourg_Open,Strasbourg,2017,WTA_500,Female,,250000,,43000,20000,,850000,32,,
2017-1051,,Stuttgart_Open,Stuttgart,2017,WTA_500,Female,,820000,,125000,34000,,1050000,28,,
2017-0804,,Charleston_Open,Charleston,2017,WTA_500,Female,,800000,,120000,32000,,850000,32,,
2017-M020,,Brisbane_Open,Brisbane,2017,WTA_500,Female,,1000000,,196670,110000,,1100000,30,,
2017-M001,,Sydney_Open,Sydney,2017,WTA_500,Female,,753000,,113000,92000,,1200000,30,,
